DQN Performance Evaluations
==================================================
Episode 7800: Goal state does not have highest Q-value (goal: 0.874, max neighbor: 0.973)
Episode 7900: Goal state does not have highest Q-value (goal: 0.873, max neighbor: 0.979)
Episode 8000: Goal state does not have highest Q-value (goal: 0.864, max neighbor: 0.979)
Episode 8100: Goal state does not have highest Q-value (goal: 0.866, max neighbor: 0.984)
Episode 8200: Goal state does not have highest Q-value (goal: 0.796, max neighbor: 0.970)
Episode 8300: Goal state does not have highest Q-value (goal: 0.851, max neighbor: 0.979)
Episode 8400: Goal state does not have highest Q-value (goal: 0.839, max neighbor: 0.982)
Episode 8500: Goal state does not have highest Q-value (goal: 0.840, max neighbor: 0.984)
Episode 8600: Goal state does not have highest Q-value (goal: 0.849, max neighbor: 0.980)
Episode 8700: Goal state does not have highest Q-value (goal: 0.883, max neighbor: 0.981)
Episode 8800: Goal state does not have highest Q-value (goal: 0.865, max neighbor: 0.989)
Episode 8900: Goal state does not have highest Q-value (goal: 0.836, max neighbor: 0.981)
Episode 9000: Goal state does not have highest Q-value (goal: 0.841, max neighbor: 0.986)
Episode 9100: Goal state does not have highest Q-value (goal: 0.856, max neighbor: 0.978)
Episode 9200: Goal state does not have highest Q-value (goal: 0.843, max neighbor: 0.980)
Episode 9300: Goal state does not have highest Q-value (goal: 0.840, max neighbor: 0.979)
Episode 9400: Goal state does not have highest Q-value (goal: 0.815, max neighbor: 0.984)
Episode 9500: Goal state does not have highest Q-value (goal: 0.835, max neighbor: 0.978)
Episode 9600: Goal state does not have highest Q-value (goal: 0.848, max neighbor: 0.983)
Episode 9700: Goal state does not have highest Q-value (goal: 0.778, max neighbor: 0.981)
Episode 9800: Goal state does not have highest Q-value (goal: 0.732, max neighbor: 0.980)
Episode 9900: Goal state does not have highest Q-value (goal: 0.745, max neighbor: 0.985)
Episode 10000: Goal state does not have highest Q-value (goal: 0.848, max neighbor: 0.979)
